Date,Close/Last,Volume,Open,High,Low
04/21/2020,280.3084,--,287.6469,291.5423,279.7722
04/20/2020,294.7317,--,292.9599,300.333,292.1301
04/17/2020,300.6139,--,302.351,303.7383,297.8059
04/16/2020,292.1224,--,292.3158,294.2955,287.5184
04/15/2020,290.7938,--,293.3132,294.848,287.4681
04/14/2020,300.2217,--,298.6713,305.5207,296.5526
04/13/2020,288.1478,--,285.224,288.6051,278.4496
04/09/2020,285.5002,--,285.7971,292.4031,281.6015
04/08/2020,278.7351,--,272.3126,279.8926,268.6146
04/07/2020,268.0696,--,276.2654,279.4188,267.0577
04/06/2020,263.3212,--,253.328,264.1197,252.4153
04/03/2020,240.6393,--,246.102,248.5351,237.401
04/02/2020,243.4172,--,241.8903,252.6398,239.0756
04/01/2020,243.4688,--,250.1676,253.9936,241.7045
03/31/2020,262.4697,--,261.0745,268.6091,258.3517
03/30/2020,260.5948,--,259.5727,261.325,255.2292
03/27/2020,259.1222,--,264.7559,266.0392,258.8973
03/26/2020,276.9602,--,272.1939,279.525,270.2175
03/25/2020,269.6628,--,262.7929,278.9009,253.8039
03/24/2020,257.3132,--,242.3195,257.5467,242.2633
03/23/2020,225.6338,--,230.705,231.8894,217.6227
03/20/2020,231.0059,--,241.3878,250.0774,230.3497
03/19/2020,235.5137,--,220.5929,240.8162,214.1527
03/18/2020,220.9867,--,238.4705,241.1785,212.7548
03/17/2020,253.291,--,241.462,253.8805,228.5558
03/16/2020,237.7832,--,261.2118,261.2118,237.4121
03/13/2020,277.8731,--,282.5003,285.1438,259.0439
03/12/2020,267.2889,--,283.4113,283.5259,265.4715
03/11/2020,301.8708,--,314.9579,317.6708,296.6316
03/10/2020,322.9112,--,322.9644,324.6507,309.3018
03/09/2020,309.8535,--,324.3719,325.5236,309.5422
03/06/2020,346.7182,--,347.9354,350.0869,340.228
03/05/2020,356.6664,--,354.9105,361.1391,353.1691
03/04/2020,363.0424,--,360.2196,363.0529,354.9128
03/03/2020,353.6931,--,363.0415,367.5087,348.5906
03/02/2020,356.5055,--,349.0303,356.5377,340.3149
02/28/2020,342.802,--,327.5797,344.1631,325.8793
02/27/2020,342.015,--,349.3286,356.2758,338.3535
02/26/2020,362.803,--,364.876,372.358,361.7609
02/25/2020,367.4835,--,386.3526,387.0442,366.5938
02/24/2020,379.8806,--,381.025,384.05,379.1081
02/21/2020,397.262,--,400.9057,401.177,393.2931
02/20/2020,404.5704,--,401.0733,407.0133,394.5461
02/19/2020,401.863,--,393.5934,402.0615,393.3296
02/18/2020,384.1095,--,380.3184,384.9233,380.3184
02/14/2020,379.2014,--,379.6544,381.7166,377.8303
02/13/2020,380.0317,--,373.1064,381.5588,372.5096
02/12/2020,378.4993,--,375.1833,378.8018,375.1711
02/11/2020,372.1726,--,368.078,373.9237,367.6068
02/10/2020,366.4264,--,363.2227,367.3811,362.793
02/07/2020,360.5305,--,364.1091,365.4862,358.8848
02/06/2020,366.8202,--,364.1931,370.993,362.4215
02/05/2020,365.6626,--,370.9359,372.6477,360.9807
02/04/2020,373.8575,--,365.8102,380.0191,364.5548
02/03/2020,354.503,--,345.1452,355.8103,344.5715
01/31/2020,344.1331,--,347.2072,349.5299,342.4462
01/30/2020,349.9906,--,346.7714,350.7359,345.8535
01/29/2020,346.0636,--,348.5537,348.8231,344.5214
01/28/2020,346.7404,--,342.8666,347.41,341.8392
01/27/2020,339.4245,--,340.9704,342.4465,338.5736
01/24/2020,351.136,--,356.5672,356.5716,349.0032
